GENESIS-Tabelle: 46321-0002
Beförderte Güter, Beförderungsleistung (Binnenschifffahrt):;;;;;;;;;
Deutschland, Monate, Hauptverkehrsbeziehungen;;;;;;;;;
Güterverkehrsstatistik der Binnenschifffahrt;;;;;;;;;
Deutschland;;;;;;;;;
;;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen;Hauptverkehrsbeziehungen
;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang;Durchgangsverkehr;Durchgangsverkehr
;;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung;Beförderte Güter;Beförderungsleistung
;;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm;t;Mill. Tkm
2015;Februar;4374812;932;4194484;1116;8494911;1945;1516440;1006
2015;März;5184608;1046;4758854;1246;9562501;2209;1618807;1074
2015;April;4863790;991;4492559;1152;8714119;1905;1498411;942
2015;Mai;4731264;983;4259215;1102;8030851;1646;1633147;1069
2015;Juni;4881381;1023;4584720;1207;8140134;1641;1634205;1101
2015;Juli;4877493;991;4410508;1201;8543621;1862;1309707;855
2015;August;4317171;856;3577288;922;8089141;1616;956573;614
2015;September;4334237;802;3534935;866;8007515;1603;962079;618
2015;Oktober;4374352;803;3647656;893;8603502;1698;937460;601
2015;November;4221578;771;3437926;845;8529267;1636;788743;508
2015;Dezember;4145119;783;3658467;982;8578437;1868;1072519;693
2016;Januar;3780924;741;3910144;1045;9071518;1920;1362000;892
2016;Februar;4471007;871;4133028;1066;8984316;2007;1337673;895
2016;März;4903385;975;4242912;1084;9426092;2050;1397050;919
2016;April;4628026;902;4277254;1089;8477294;1701;1455410;887
2016;Mai;4682353;953;4193647;1103;8832717;1818;1429901;914
2016;Juni;4760894;974;4300529;1140;8354171;1687;1193140;779
2016;Juli;4843908;996;4458256;1232;8594681;1752;1330666;853
2016;August;5115031;1049;4039326;1085;8931532;1814;1116387;745
2016;September;4551756;911;4157721;1066;8208318;1689;1022927;682
