GENESIS-Tabelle: 46331-0004;;;;;;;;;
Umgeschlagene Güter (Seeverkehr): Deutschland, Monate,;;;;;;;;;
Güterabteilungen, Hauptverkehrsbeziehungen,;;;;;;;;;
Flagge des Schiffes;;;;;;;;;
Seeverkehrsstatistik;;;;;;;;;
Deutschland;;;;;;;;;
;;;;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter;Umgeschlagene Güter
;;;;Verkehr innerhalb Deutschlands;Verkehr innerhalb Deutschlands;Grenzüberschreitender Versand;Grenzüberschreitender Versand;Grenzüberschreitender Empfang;Grenzüberschreitender Empfang
;;;;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes;Flagge des Schiffes
;;year;month;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge;Deutschland;Schiffe fremder Flagge
;;;;t;t;t;t;t;t
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;September;-;-;44;893;9066;3724603
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Oktober;13765;-;16;26377;67472;2802701
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;November;520;111985;50;3022;7957;3237532
NST7-02;Kohle, rohes Erdöl und Erdgas;2015;Dezember;1000;-;126;8063;46680;2628768
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;Januar;-;12987;40;4854;58;2333254
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;Februar;-;22948;50;7323;19;2551683
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;März;-;108565;-;35210;3;2013773
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;April;-;8768;1;31408;113;3171411
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;Mai;-;60103;20;60380;3009;2175692
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;Juni;920;126831;7;14105;-;2887097
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;Juli;875;77064;-;45071;-;3533860
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;August;-;20621;23;35705;34;2969282
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;September;-;-;8;8579;150;3242880
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;Oktober;-;40505;13;13070;27;3180468
NST7-02;Kohle, rohes Erdöl und Erdgas;2016;November;-;23887;14;40489;54;2712585
