;;;Originalwerte
Hotels, Gasthöfe und Pensionen;2009;Juli;101
Hotels, Gasthöfe und Pensionen;2009;August;103,8
Hotels, Gasthöfe und Pensionen;2009;September;112,3
Hotels, Gasthöfe und Pensionen;2009;Oktober;105
Hotels, Gasthöfe und Pensionen;2009;November;86,6
Hotels, Gasthöfe und Pensionen;2009;Dezember;89,9
Hotels, Gasthöfe und Pensionen;2010;Januar;68,9
Hotels, Gasthöfe und Pensionen;2010;Februar;73,7
Hotels, Gasthöfe und Pensionen;2010;März;83,1
Hotels, Gasthöfe und Pensionen;2010;April;90,5
Hotels, Gasthöfe und Pensionen;2010;Mai;100,6
Hotels, Gasthöfe und Pensionen;2010;Juni;102
Hotels, Gasthöfe und Pensionen;2010;Juli;102,6
Hotels, Gasthöfe und Pensionen;2010;August;102,3
Hotels, Gasthöfe und Pensionen;2010;September;116,9
Hotels, Gasthöfe und Pensionen;2010;Oktober;110,9
Hotels, Gasthöfe und Pensionen;2010;November;91,3
Hotels, Gasthöfe und Pensionen;2010;Dezember;89,8
Hotels, Gasthöfe und Pensionen;2011;Januar;73,4
Hotels, Gasthöfe und Pensionen;2011;Februar;76,5
Hotels, Gasthöfe und Pensionen;2011;März;88,1
Hotels, Gasthöfe und Pensionen;2011;April;90,6
Hotels, Gasthöfe und Pensionen;2011;Mai;110,3
Hotels, Gasthöfe und Pensionen;2011;Juni;104,7
Hotels, Gasthöfe und Pensionen;2011;Juli;105,3
Hotels, Gasthöfe und Pensionen;2011;August;102,1
Hotels, Gasthöfe und Pensionen;2011;September;116,8
Hotels, Gasthöfe und Pensionen;2011;Oktober;110,7
Hotels, Gasthöfe und Pensionen;2011;November;92,2
Hotels, Gasthöfe und Pensionen;2011;Dezember;92,9
Hotels, Gasthöfe und Pensionen;2012;Januar;74,3
Hotels, Gasthöfe und Pensionen;2012;Februar;79,9
Hotels, Gasthöfe und Pensionen;2012;März;91,6
Hotels, Gasthöfe und Pensionen;2012;April;92,8
Hotels, Gasthöfe und Pensionen;2012;Mai;111,4
Hotels, Gasthöfe und Pensionen;2012;Juni;107,1
Hotels, Gasthöfe und Pensionen;2012;Juli;105,6
Hotels, Gasthöfe und Pensionen;2012;August;108,2
Hotels, Gasthöfe und Pensionen;2012;September;120,2
Hotels, Gasthöfe und Pensionen;2012;Oktober;109,7
