;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen;Kurzarbeiter;Kurzarbeitende Betriebe
Früheres Bundesgebiet;2010;Juni;2172077;6,4;7,2;299345;348411;33823
Früheres Bundesgebiet;2010;Juli;2205026;6,5;7,3;318483;257327;29288
Früheres Bundesgebiet;2010;August;2214901;6,6;7,4;324875;194766;25332
Früheres Bundesgebiet;2010;September;2100297;6,2;7;325426;192121;24198
Früheres Bundesgebiet;2010;Oktober;2040144;6,1;6,8;328413;189419;22868
Früheres Bundesgebiet;2010;November;2026386;6;6,7;322366;172370;21829
Früheres Bundesgebiet;2010;Dezember;2064921;6,1;6,9;312206;209087;28110
Früheres Bundesgebiet;2011;Januar;2271197;6,7;7,6;306503;234172;29456
Früheres Bundesgebiet;2011;Februar;2238260;6,6;7,4;338933;221935;29105
Früheres Bundesgebiet;2011;März;2168053;6,4;7,2;359060;177104;24221
Früheres Bundesgebiet;2011;April;2085848;6,2;6,9;376654;101766;13271
Früheres Bundesgebiet;2011;Mai;2011946;6;6,7;386261;94284;11448
Früheres Bundesgebiet;2011;Juni;1972154;5,8;6,5;394278;86013;9703
Früheres Bundesgebiet;2011;Juli;2010589;6;6,7;404877;62241;7937
Früheres Bundesgebiet;2011;August;2025166;6;6,7;408141;56245;6615
Früheres Bundesgebiet;2011;September;1918956;5,7;6,4;412232;59294;6356
Früheres Bundesgebiet;2011;Oktober;1876991;5,6;6,2;410983;63751;6027
Früheres Bundesgebiet;2011;November;1851648;5,5;6,1;403312;65660;6104
Früheres Bundesgebiet;2011;Dezember;1887733;5,6;6,2;383586;213588;24490
Früheres Bundesgebiet;2012;Januar;2085371;6,2;6,9;370314;304965;32333
Früheres Bundesgebiet;2012;Februar;2104486;6,2;7;386380;380958;39474
Früheres Bundesgebiet;2012;März;2051525;6,1;6,8;400073;153152;19027
Früheres Bundesgebiet;2012;April;2024046;6;6,7;405386;62376;4587
Früheres Bundesgebiet;2012;Mai;1964143;5,7;6,4;406627;61002;4053
Früheres Bundesgebiet;2012;Juni;1946160;5,7;6,4;407499;56710;3805
Früheres Bundesgebiet;2012;Juli;2005823;5,9;6,6;408351;41400;3345
Früheres Bundesgebiet;2012;August;2035922;6;6,7;403407;35651;2916
Früheres Bundesgebiet;2012;September;1952769;5,7;6,4;395798;52087;3172
Früheres Bundesgebiet;2012;Oktober;1929309;5,6;6,3;382711;67477;3565
Früheres Bundesgebiet;2012;November;1925595;5,6;6,3;365443;78309;4142
Früheres Bundesgebiet;2012;Dezember;1973863;5,8;6,5;341052;269926;26526
Früheres Bundesgebiet;2013;Januar;2171625;6,4;7,1;340418;362257;38063
Früheres Bundesgebiet;2013;Februar;2188493;6,4;7,2;362843;381592;39849
Früheres Bundesgebiet;2013;März;2150573;6,3;7;373579;316181;37603
Früheres Bundesgebiet;2013;April;2107788;6,2;6,9;371271;88193;5964
Früheres Bundesgebiet;2013;Mai;2067669;6;6,7;369554;66556;5141
Früheres Bundesgebiet;2013;Juni;2028687;5,8;6,5;371102;70721;5124
Früheres Bundesgebiet;2013;Juli;2076392;6;6,7;379010;63240;4581
Früheres Bundesgebiet;2013;August;2106940;6,1;6,8;380383;44340;3825
Früheres Bundesgebiet;2013;September;2037342;5,9;6,6;381601;53789;4018
Früheres Bundesgebiet;2013;Oktober;1998296;5,8;6,4;374888;65416;4127
Früheres Bundesgebiet;2013;November;1996023;5,8;6,4;368836;66143;4371
